Class_Style_Color_Size	AEO_DC_From_LOC	AEO_DC_To_LOC	Allocate_Date	Ship_Date	Arrive_Date	BULK_OH_Class_Style_Color_Size_DC	BULK_OH_Class_Style_Color_Size_Alloc	Class_Style_Color_Size		QTY	0	0	Alloc	1	N		DEPLOYMENT	0	Manual Import	0000000000	FloorSet	Current_Time_Stamp
"753_3132_73_4000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_753_3132_73_4000_DC2959"	"BULK_OH_753_3132_73_4000_DC2959_ALC16723"	"753_3132_73_4000"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.01"
"3437_3552_893_8101"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_3437_3552_893_8101_DC2959"	"BULK_OH_3437_3552_893_8101_DC2959_ALC16723"	"3437_3552_893_8101"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.02"
"112_5909_841_3832"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_112_5909_841_3832_DC2959"	"BULK_OH_112_5909_841_3832_DC2959_ALC16723"	"112_5909_841_3832"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.02"
"112_5906_936_3330"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_112_5906_936_3330_DC2959"	"BULK_OH_112_5906_936_3330_DC2959_ALC16723"	"112_5906_936_3330"	""	"6"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.02"
"112_5906_936_3436"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_112_5906_936_3436_DC2959"	"BULK_OH_112_5906_936_3436_DC2959_ALC16723"	"112_5906_936_3436"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.03"
"1120_4578_400_2930"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_1120_4578_400_2930_DC2959"	"BULK_OH_1120_4578_400_2930_DC2959_ALC16723"	"1120_4578_400_2930"	""	"6"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.03"
"2168_2499_915_6000"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_2168_2499_915_6000_DC2959"	"BULK_OH_2168_2499_915_6000_DC2959_ALC16723"	"2168_2499_915_6000"	""	"7"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.03"
"8791_8340_73_3813"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_8791_8340_73_3813_DC2959"	"BULK_OH_8791_8340_73_3813_DC2959_ALC16723"	"8791_8340_73_3813"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.04"
"8791_8340_73_3814"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_8791_8340_73_3814_DC2959"	"BULK_OH_8791_8340_73_3814_DC2959_ALC16723"	"8791_8340_73_3814"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.04"
"112_5907_334_3430"	"AEO_DC_2959"	"AEO_ST_6900"	"20231118"	"20231119"	"20231122"	"BULK_OH_112_5907_334_3430_DC2959"	"BULK_OH_112_5907_334_3430_DC2959_ALC16723"	"112_5907_334_3430"	""	"5"	"0"	"0"	"16723"	"1"	"N"	""	"DEPLOYMENT"	"0"	"Manual Import"	"0000000000"	" "	"2023-11-18.13.21.04"
