"FROM WAREHOUSE","TO WAREHOUSE","DEPT","CLASS","STYLE","COLOR","SIZE","QTY","Current_Time_Stamp"
2959,6900,31,312,4329,900,2000,9,"2023-11-20.20.26.18"
2959,6900,31,312,4329,42,2000,7,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,2,11,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,4,25,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,6,29,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,8,16,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,12,9,"2023-11-20.20.26.18"
2959,6900,33,1332,7042,401,101,7,"2023-11-20.20.26.18"
2959,6900,150,2698,1117,342,2000,5,"2023-11-20.20.26.18"
2959,6900,150,2698,1117,342,4000,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,368,3700,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,368,3701,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,368,4700,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,368,4701,5,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,368,5701,6,"2023-11-20.20.26.18"
2959,6900,69,2693,8201,570,6000,5,"2023-11-20.20.26.18"
2959,6900,75,751,3704,73,1615,5,"2023-11-20.20.26.18"
2959,6900,12,1522,4657,347,3000,12,"2023-11-20.20.26.18"
2959,6900,39,1399,6513,309,5000,7,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,100,1000,12,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,100,3000,31,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,100,4000,12,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,164,1000,9,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,164,2000,28,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,164,4000,9,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,216,1000,11,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,216,2000,34,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,216,3000,27,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,216,4000,11,"2023-11-20.20.26.18"
2959,6900,78,1784,2551,804,1000,9,"2023-11-20.20.26.18"
