Class_Style_Color_Size,AEO_DC_From_LOC,AEO_DC_To_LOC,Allocate_Date,Ship_Date,Arrive_Date,BULK_OH_Class_Style_Color_Size_DC,BULK_OH_Class_Style_Color_Size_Alloc,Class_Style_Color_Size,,QTY,0,0,Alloc,1,N,,DEPLOYMENT,0,Manual Import,0000000000,FloorSet,Current_Time_Stamp
"""117_5356_81_3630""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_117_5356_81_3630_DC2959""","""BULK_OH_117_5356_81_3630_DC2959_ALC16717""","""117_5356_81_3630""","""""","""21""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.14"""
"""1756_2701_73_3000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1756_2701_73_3000_DC2959""","""BULK_OH_1756_2701_73_3000_DC2959_ALC16717""","""1756_2701_73_3000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.14"""
"""1756_2701_73_4000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1756_2701_73_4000_DC2959""","""BULK_OH_1756_2701_73_4000_DC2959_ALC16717""","""1756_2701_73_4000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.15"""
"""2698_3081_317_1000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2698_3081_317_1000_DC2959""","""BULK_OH_2698_3081_317_1000_DC2959_ALC16717""","""2698_3081_317_1000""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.15"""
"""2693_2957_73_2000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2693_2957_73_2000_DC2959""","""BULK_OH_2693_2957_73_2000_DC2959_ALC16717""","""2693_2957_73_2000""","""""","""25""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.15"""
"""2693_2957_172_2000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2693_2957_172_2000_DC2959""","""BULK_OH_2693_2957_172_2000_DC2959_ALC16717""","""2693_2957_172_2000""","""""","""16""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.16"""
"""1164_1542_1_4000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1164_1542_1_4000_DC2959""","""BULK_OH_1164_1542_1_4000_DC2959_ALC16717""","""1164_1542_1_4000""","""""","""56""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.16"""
"""436_3064_922_9103""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_436_3064_922_9103_DC2959""","""BULK_OH_436_3064_922_9103_DC2959_ALC16717""","""436_3064_922_9103""","""""","""33""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.16"""
"""753_2860_73_6000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_753_2860_73_6000_DC2959""","""BULK_OH_753_2860_73_6000_DC2959_ALC16717""","""753_2860_73_6000""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.17"""
"""220_973_800_2000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_220_973_800_2000_DC2959""","""BULK_OH_220_973_800_2000_DC2959_ALC16717""","""220_973_800_2000""","""""","""43""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.17"""
"""220_973_800_3000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_220_973_800_3000_DC2959""","""BULK_OH_220_973_800_3000_DC2959_ALC16717""","""220_973_800_3000""","""""","""155""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.17"""
"""220_973_800_4000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_220_973_800_4000_DC2959""","""BULK_OH_220_973_800_4000_DC2959_ALC16717""","""220_973_800_4000""","""""","""87""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.18"""
"""2693_8201_646_3000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2693_8201_646_3000_DC2959""","""BULK_OH_2693_8201_646_3000_DC2959_ALC16717""","""2693_8201_646_3000""","""""","""19""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.18"""
"""118_5765_939_3634""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_118_5765_939_3634_DC2959""","""BULK_OH_118_5765_939_3634_DC2959_ALC16717""","""118_5765_939_3634""","""""","""9""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.18"""
"""233_2801_425_2000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_233_2801_425_2000_DC2959""","""BULK_OH_233_2801_425_2000_DC2959_ALC16717""","""233_2801_425_2000""","""""","""6""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.19"""
"""3234_3338_20_1000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_3234_3338_20_1000_DC2959""","""BULK_OH_3234_3338_20_1000_DC2959_ALC16717""","""3234_3338_20_1000""","""""","""22""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.19"""
"""436_3380_431_8014""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_436_3380_431_8014_DC2959""","""BULK_OH_436_3380_431_8014_DC2959_ALC16717""","""436_3380_431_8014""","""""","""27""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.19"""
"""2696_1097_100_4000""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_2696_1097_100_4000_DC2959""","""BULK_OH_2696_1097_100_4000_DC2959_ALC16717""","""2696_1097_100_4000""","""""","""17""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.19"""
"""438_3534_943_8012""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_438_3534_943_8012_DC2959""","""BULK_OH_438_3534_943_8012_DC2959_ALC16717""","""438_3534_943_8012""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.20"""
"""1437_3417_470_9004""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1437_3417_470_9004_DC2959""","""BULK_OH_1437_3417_470_9004_DC2959_ALC16717""","""1437_3417_470_9004""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.20"""
"""1437_3417_470_8008""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1437_3417_470_8008_DC2959""","""BULK_OH_1437_3417_470_8008_DC2959_ALC16717""","""1437_3417_470_8008""","""""","""22""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.20"""
"""1437_3417_470_8010""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_1437_3417_470_8010_DC2959""","""BULK_OH_1437_3417_470_8010_DC2959_ALC16717""","""1437_3417_470_8010""","""""","""19""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.21"""
"""438_3535_16_7004""","""AEO_DC_2959""","""AEO_ST_6920""","""20231118""","""20231119""","""20231122""","""BULK_OH_438_3535_16_7004_DC2959""","""BULK_OH_438_3535_16_7004_DC2959_ALC16717""","""438_3535_16_7004""","""""","""5""","""0""","""0""","""16717""","""1""","""N""","""""","""DEPLOYMENT""","""0""","""Manual Import""","""0000000000""",""" ""","""2023-11-18.12.04.21"""
